alpha|theta
-14.9|6
-14.8|7
-14.7|8
-14.6|9
-14.5|10
-14.4|11
-14.3|12
-14.2|13
-14.1|14
-14.0|15
-13.9|15
-13.8|16
-13.7|17
-13.6|18
-13.5|19
-13.4|19
-13.3|20
-13.2|21
-13.1|22
-13.0|22
-12.9|23
-12.8|24
-12.7|25
-12.6|25
-12.5|26
-12.4|27
-12.3|27
-12.2|28
-12.1|29
-12.0|29
-11.9|30
-11.8|31
-11.7|31
-11.6|32
-11.5|33
-11.4|33
-11.3|34
-11.2|34
-11.1|35
-11.0|36
-10.9|36
-10.8|37
-10.7|37
-10.6|38
-10.5|39
-10.4|39
-10.3|40
-10.2|40
-10.1|41
-10.0|41
-9.9|42
-9.8|43
-9.7|43
-9.6|44
-9.5|44
-9.4|45
-9.3|45
-9.2|46
-9.1|46
-9.0|47
-8.9|47
-8.8|48
-8.7|49
-8.6|49
-8.5|50
-8.4|50
-8.3|51
-8.2|51
-8.1|52
-8.0|52
-7.9|53
-7.8|53
-7.7|54
-7.6|54
-7.5|55
-7.4|55
-7.3|56
-7.2|56
-7.1|57
-7.0|57
-6.9|58
-6.8|58
-6.7|59
-6.6|59
-6.5|60
-6.4|60
-6.3|61
-6.2|61
-6.1|62
-6.0|62
-5.9|63
-5.8|63
-5.7|64
-5.6|64
-5.5|65
-5.4|65
-5.3|66
-5.2|66
-5.1|66
-5.0|67
-4.9|67
-4.8|68
-4.7|68
-4.6|69
-4.5|69
-4.4|70
-4.3|70
-4.2|71
-4.1|71
-4.0|72
-3.9|72
-3.8|73
-3.7|73
-3.6|74
-3.5|74
-3.4|74
-3.3|75
-3.2|75
-3.1|76
-3.0|76
-2.9|77
-2.8|77
-2.7|78
-2.6|78
-2.5|79
-2.4|79
-2.3|80
-2.2|80
-2.1|80
-2.0|81
-1.9|81
-1.8|82
-1.7|82
-1.6|83
-1.5|83
-1.4|84
-1.3|84
-1.2|85
-1.1|85
-1.0|85
-0.9|86
-0.8|86
-0.7|87
-0.6|87
-0.5|88
-0.4|88
-0.3|89
-0.2|89
-0.1|90
0.0|90
0.1|90
0.2|91
0.3|91
0.4|92
0.5|92
0.6|93
0.7|93
0.8|94
0.9|94
1.0|95
1.1|95
1.2|95
1.3|96
1.4|96
1.5|97
1.6|97
1.7|98
1.8|98
1.9|99
2.0|99
2.1|100
2.2|100
2.3|100
2.4|101
2.5|101
2.6|102
2.7|102
2.8|103
2.9|103
3.0|104
3.1|104
3.2|105
3.3|105
3.4|106
3.5|106
3.6|106
3.7|107
3.8|107
3.9|108
4.0|108
4.1|109
4.2|109
4.3|110
4.4|110
4.5|111
4.6|111
4.7|112
4.8|112
4.9|113
5.0|113
5.1|114
5.2|114
5.3|114
5.4|115
5.5|115
5.6|116
5.7|116
5.8|117
5.9|117
6.0|118
6.1|118
6.2|119
6.3|119
6.4|120
6.5|120
6.6|121
6.7|122
6.8|122
6.9|123
7.0|123
7.1|124
7.2|125
7.3|125
7.4|126
7.5|127
7.6|127
7.7|128
7.8|128
7.9|129
8.0|130
8.1|130
8.2|131
8.3|132
8.4|132
8.5|133
8.6|134
8.7|134
8.8|135
8.9|136
9.0|136
9.1|137
9.2|138
9.3|138
9.4|139
9.5|140
9.6|140
9.7|141
9.8|142
9.9|143
10.0|143
10.1|144
10.2|145
10.3|145
10.4|145
10.5|145
10.6|146
10.7|146
10.8|146
10.9|146
11.0|146
11.1|146
11.2|146
11.3|147
11.4|147
11.5|147
11.6|147
11.7|147
11.8|147
11.9|148
12.0|148
12.1|148
12.2|148
12.3|148
12.4|148
12.5|149
12.6|149
12.7|149
12.8|149
12.9|149
13.0|149
13.1|150
13.2|150
13.3|150
13.4|150
13.5|151
13.6|151
13.7|151
13.8|152
13.9|152
14.0|152
14.1|153
14.2|153
14.3|154
14.4|154
14.5|154
14.6|155
14.7|155
14.8|156
14.9|156
